Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
10, 25, 0.76942338, 14.58593750, 0.86757232, 14.58593750, 0.76236330, 14.58593750, 0.75106936, 14.58593750, 0.79205326, 14.58593750
110, 2671, 0.45020340, 14.59375000, 0.43264190, 14.59375000, 0.44201424, 14.59375000, 0.43922336, 14.60468750, 0.43464058, 14.60468750
210, 10958, 0.34041814, 14.66093750, 0.43162366, 14.66093750, 0.42566316, 14.67343750, 0.40292118, 14.67343750, 0.44281122, 14.67343750
310, 25032, 0.32701740, 14.71093750, 0.37797532, 14.71093750, 0.34906690, 14.71093750, 0.39712930, 14.71093750, 0.39215202, 14.71093750
410, 43305, 0.34483866, 14.71484375, 0.31814480, 14.71484375, 0.31915510, 14.71484375, 0.39733962, 14.71484375, 0.39472164, 14.71484375
510, 68490, 0.24697076, 14.63671875, 0.32994136, 14.63671875, 0.32950722, 14.63671875, 0.38416000, 14.61718750, 0.39633238, 14.61718750
610, 96312, 0.27063124, 14.61718750, 0.35068592, 14.61718750, 0.35106078, 14.61718750, 0.38933878, 14.61718750, 0.40471596, 14.61718750
710, 128340, 0.32143618, 14.61718750, 0.37194540, 14.61718750, 0.39439102, 14.61718750, 0.44221206, 14.61718750, 0.50205220, 14.61718750
810, 171247, 0.37285212, 14.62656250, 0.29705624, 14.62656250, 0.28903554, 14.62656250, 0.41804898, 14.62890625, 0.46455234, 14.62890625
910, 213410, 0.38297258, 14.62890625, 0.31196146, 14.62890625, 0.31043220, 14.62890625, 0.37742626, 14.62890625, 0.46972746, 14.62890625
1010, 258990, 0.42401972, 14.62890625, 0.32338526, 14.62890625, 0.31557042, 14.62890625, 0.37586058, 14.62890625, 0.50742298, 14.62890625
1110, 309740, 0.49223250, 14.70000000, 0.37775708, 14.70000000, 0.37110132, 14.70000000, 0.39795056, 14.70234375, 0.49047164, 14.70390625
1210, 364890, 0.47804316, 14.75859375, 0.33486044, 14.75859375, 0.32603246, 14.75859375, 0.32921540, 14.76171875, 0.41825796, 14.76171875
1310, 432778, 0.54174134, 14.76171875, 0.38346248, 14.76171875, 0.37400922, 14.76171875, 0.35169398, 14.76171875, 0.46295180, 14.76171875
1410, 505557, 0.61732700, 14.76171875, 0.42382064, 14.76171875, 0.41629040, 14.76171875, 0.38013002, 14.76171875, 0.49666340, 14.76171875
1510, 569316, 0.32005538, 14.76171875, 0.43556734, 14.76171875, 0.42056110, 14.76171875, 0.39441418, 14.76171875, 0.46713634, 14.76171875
1610, 646412, 0.35022688, 14.76171875, 0.45052994, 14.76171875, 0.44489872, 14.76171875, 0.35693716, 14.76171875, 0.39313994, 14.76171875
1710, 731886, 0.38824040, 14.76171875, 0.52294400, 14.76171875, 0.49755204, 14.76171875, 0.38139308, 14.76171875, 0.38437004, 14.76171875
1810, 818429, 0.41865908, 14.76171875, 0.53625306, 14.76171875, 0.50032174, 14.76171875, 0.35287352, 14.76171875, 0.33630084, 14.76171875
1910, 911013, 0.44994978, 14.76171875, 0.54948052, 14.76171875, 0.53988576, 14.76171875, 0.37107326, 14.76171875, 0.36022568, 14.76171875
