Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
10, 27, 0.78418070, 16.60156250, 0.82563140, 16.60156250, 0.74900604, 16.60156250, 0.73829184, 16.60156250, 0.74190484, 16.60156250
110, 2763, 0.44293334, 16.60156250, 0.44979292, 16.60156250, 0.43842802, 16.60156250, 0.46495406, 16.60156250, 0.44101534, 16.60156250
210, 10200, 0.39626042, 16.60156250, 0.42205694, 16.60156250, 0.42605742, 16.60156250, 0.41748492, 16.60156250, 0.41988062, 16.60156250
310, 22989, 0.36223420, 16.60156250, 0.36999940, 16.60156250, 0.44081522, 16.60156250, 0.43443114, 16.60156250, 0.43364154, 16.60156250
410, 39149, 0.37649996, 16.60156250, 0.35325162, 16.60156250, 0.35983896, 16.60156250, 0.43482050, 16.60156250, 0.43284590, 16.60156250
510, 58304, 0.24352112, 16.60156250, 0.33060076, 16.60156250, 0.32274316, 16.60156250, 0.39133650, 16.60156250, 0.38815736, 16.60156250
610, 84394, 0.25906754, 16.60156250, 0.34002360, 16.60156250, 0.33410440, 16.60156250, 0.39153836, 16.60156250, 0.38896052, 16.60156250
710, 113224, 0.29753452, 16.60156250, 0.26195804, 16.60156250, 0.35132706, 16.60156250, 0.39372930, 16.60156250, 0.39036292, 16.60156250
810, 150759, 0.31143210, 16.60156250, 0.25194972, 16.60156250, 0.24447194, 16.60156250, 0.39561168, 16.60156250, 0.39035750, 16.60156250
910, 205439, 0.35547308, 16.60156250, 0.27765890, 16.60156250, 0.27857192, 16.60156250, 0.37401226, 16.60156250, 0.42705002, 16.60156250
1010, 262538, 0.41495606, 16.60156250, 0.31101886, 16.60156250, 0.30921670, 16.60156250, 0.37128808, 16.60156250, 0.44937958, 16.60156250
1110, 314861, 0.44833470, 16.60156250, 0.33035972, 16.60156250, 0.32894526, 16.60156250, 0.34672574, 16.60156250, 0.48548796, 16.60156250
1210, 377310, 0.49651288, 16.60156250, 0.35293168, 16.60156250, 0.35225676, 16.60156250, 0.34959520, 16.60156250, 0.45237566, 16.60156250
1310, 433031, 0.54022012, 16.60156250, 0.37349716, 16.60156250, 0.36568788, 16.60156250, 0.34775188, 16.60156250, 0.44180344, 16.60156250
1410, 514248, 0.58554034, 16.60156250, 0.40621480, 16.60156250, 0.39778222, 16.60156250, 0.35622910, 16.60156250, 0.42764348, 16.60156250
1510, 612547, 0.32280674, 16.60156250, 0.40452692, 16.60156250, 0.41322814, 16.60156250, 0.33358216, 16.60156250, 0.37160312, 16.60156250
1610, 699674, 0.35649100, 16.60156250, 0.44951952, 16.60156250, 0.46070020, 16.60156250, 0.35524880, 16.60156250, 0.34946574, 16.60156250
1710, 786100, 0.39015954, 16.60156250, 0.47225132, 16.60156250, 0.49189208, 16.60156250, 0.35085116, 16.60156250, 0.34666854, 16.60156250
1810, 881843, 0.42523678, 16.60390625, 0.50055182, 16.60390625, 0.51862168, 16.60390625, 0.35846634, 16.60390625, 0.35984046, 16.60468750
1910, 979744, 0.46221342, 16.60546875, 0.55234254, 16.60546875, 0.56433898, 16.60546875, 0.37249042, 16.60546875, 0.34867122, 16.60546875
2010, 1089519, 0.48291458, 16.60546875, 0.55461746, 16.60546875, 0.57486066, 16.60546875, 0.33203290, 16.60546875, 0.31416096, 16.60546875
2110, 1202725, 0.53795762, 16.60546875, 0.60709056, 16.60546875, 0.43964252, 16.60546875, 0.35657322, 16.60546875, 0.34626578, 16.60546875
2210, 1340018, 0.62274400, 16.60546875, 0.33467194, 16.60546875, 0.34758962, 16.60546875, 0.37150102, 16.60546875, 0.37879158, 16.60546875
2310, 1461603, 0.62278872, 16.60781250, 0.36034962, 16.60781250, 0.35305528, 16.60781250, 0.35757490, 16.60781250, 0.34147998, 16.60859375
2410, 1578055, 0.66230208, 16.60937500, 0.36545458, 16.60937500, 0.37515352, 16.60937500, 0.36829494, 16.60937500, 0.36163868, 16.60937500
2510, 1725839, 0.71026828, 16.60937500, 0.38702560, 16.60937500, 0.40314762, 16.60937500, 0.37503062, 16.60937500, 0.34766416, 16.60937500
2610, 1866709, 0.77394874, 16.60937500, 0.40778068, 16.60937500, 0.43007046, 16.60937500, 0.38143412, 16.60937500, 0.35326058, 16.60937500
2710, 1997783, 0.84105108, 16.60937500, 0.44003896, 16.60937500, 0.45368570, 16.60937500, 0.37618532, 16.60937500, 0.35304480, 16.60937500
2810, 2131764, 0.85478136, 16.60937500, 0.45004396, 16.60937500, 0.47427460, 16.60937500, 0.37404296, 16.60937500, 0.35405606, 16.60937500
2910, 2272317, 0.91158060, 16.60937500, 0.47938660, 16.60937500, 0.49678598, 16.60937500, 0.39110520, 16.60937500, 0.35525168, 16.61015625
3010, 2421541, 0.96821520, 16.61328125, 0.50739244, 16.61328125, 0.51932202, 16.61328125, 0.38567638, 16.61328125, 0.35984442, 16.61328125
3110, 2571037, 1.01992388, 16.61953125, 0.53213312, 16.61953125, 0.54166192, 16.61953125, 0.37668128, 16.62109375, 0.35884152, 16.62109375
3210, 2716234, 1.06923326, 16.62109375, 0.54968322, 16.62109375, 0.56494086, 16.62109375, 0.37148220, 16.62109375, 0.35545968, 16.62109375
3310, 2856061, 1.15484098, 16.62109375, 0.58723440, 16.62109375, 0.59474522, 16.62109375, 0.37459366, 16.62109375, 0.35724578, 16.62109375
3410, 3026606, 1.18972670, 16.62109375, 0.60887690, 16.62109375, 0.61634400, 16.62109375, 0.37328942, 16.62109375, 0.36003686, 16.62109375
3510, 3187979, 1.29069156, 16.62109375, 0.63739788, 16.62109375, 0.65345982, 16.62109375, 0.37595678, 16.62109375, 0.36123610, 16.62109375
3610, 3340852, 1.32001188, 16.62109375, 0.67391016, 16.62109375, 0.67047158, 16.62109375, 0.37570824, 16.62109375, 0.37639942, 16.62109375
3710, 3522523, 1.40286222, 16.62109375, 0.71720346, 16.62109375, 0.71816674, 16.62109375, 0.39021280, 16.62109375, 0.37279914, 16.62109375
3810, 3728554, 1.46518694, 16.62109375, 0.74564286, 16.62109375, 0.74305184, 16.62109375, 0.38223802, 16.62109375, 0.37260370, 16.62109375
3910, 3927751, 1.53467606, 16.62109375, 0.77137628, 16.62109375, 0.78134644, 16.62109375, 0.38360778, 16.62109375, 0.37021054, 16.62109375
4010, 4142742, 1.78743892, 16.62109375, 0.80514046, 16.62109375, 0.81147856, 16.62109375, 0.39964506, 16.62109375, 0.37620506, 16.62109375
4110, 4339341, 1.68437528, 16.62109375, 0.86140696, 16.62109375, 0.84828964, 16.62109375, 0.38780172, 16.62109375, 0.36542234, 16.62109375
4210, 4537977, 1.73875356, 16.62109375, 0.88329146, 16.62109375, 0.89240782, 16.62109375, 0.39762192, 16.62109375, 0.37658852, 16.62109375
4310, 4783847, 2.00560548, 16.62109375, 0.91708024, 16.62109375, 0.93428530, 16.62109375, 0.40222436, 16.62109375, 0.39653916, 16.62109375
4410, 5068202, 2.05922320, 16.62343750, 0.95307364, 16.62343750, 0.97805570, 16.62343750, 0.43938348, 16.62343750, 0.41469114, 16.62421875
4510, 5349389, 2.27835932, 16.62500000, 1.06138414, 16.62500000, 1.03257024, 16.62500000, 0.42700830, 16.62500000, 0.40272636, 16.62500000
4610, 5559132, 2.10823314, 16.62500000, 1.02607002, 16.62500000, 1.04114576, 16.62500000, 0.31567758, 16.62500000, 0.37344510, 16.62500000
4710, 5765689, 2.17351628, 16.62500000, 1.07921622, 16.62500000, 1.09429386, 16.62500000, 0.32136978, 16.62500000, 0.37900178, 16.62500000
4810, 6020263, 2.29002552, 16.62500000, 1.11418076, 16.62500000, 1.13427736, 16.62500000, 0.26641728, 16.62500000, 0.37513958, 16.62500000
4910, 6303005, 2.36640724, 16.62500000, 1.13459840, 16.62500000, 1.18578324, 16.62500000, 0.26596518, 16.62500000, 0.37281326, 16.62500000
5010, 6553311, 2.45191964, 16.62500000, 1.30018744, 16.62500000, 1.22363128, 16.62500000, 0.26349648, 16.62500000, 0.36982436, 16.62500000
5110, 6866459, 2.57678396, 16.62500000, 1.23618872, 16.62500000, 1.37258002, 16.62500000, 0.28063044, 16.62500000, 0.37395884, 16.62500000
5210, 7179805, 2.69089396, 16.62500000, 1.26928976, 16.62500000, 1.31997356, 16.62500000, 0.30075456, 16.62500000, 0.38937546, 16.62500000
5310, 7448856, 2.76883348, 16.62500000, 1.32661564, 16.62500000, 1.36633728, 16.62500000, 0.28433388, 16.62500000, 0.37476748, 16.62500000
5410, 7782242, 2.87743082, 16.62500000, 1.37249018, 16.62500000, 1.44325114, 16.62500000, 0.28070240, 16.62500000, 0.37446376, 16.62500000
5510, 8090231, 3.19503024, 16.62500000, 1.42283754, 16.62500000, 1.48167406, 16.62500000, 0.28025016, 16.62500000, 0.38006820, 16.62500000
5610, 8384436, 3.05450854, 16.62500000, 1.46422120, 16.62500000, 1.52820740, 16.62500000, 0.29643234, 16.62500000, 0.38075540, 16.62500000
5710, 8657353, 3.16621576, 16.62500000, 1.50820526, 16.62500000, 1.58051068, 16.62500000, 0.27796168, 16.62500000, 0.37448370, 16.62500000
5810, 8911107, 3.30902380, 16.62500000, 1.60309194, 16.62500000, 1.60872128, 16.62500000, 0.28372378, 16.62500000, 0.38591226, 16.62500000
