Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
10, 22, 1.38752910, 14.63750000, 1.23803236, 14.63750000, 1.27303224, 14.63750000, 1.39900570, 14.63750000, 2.60977644, 14.64765625
110, 3088, 0.73670210, 14.67968750, 0.71907212, 14.67968750, 0.63410666, 14.67968750, 0.55929942, 14.67968750, 0.57486062, 14.67968750
210, 10378, 0.78967670, 14.60859375, 0.79806230, 14.61093750, 1.15629882, 14.61250000, 1.13895676, 14.59375000, 1.05757042, 14.59375000
310, 23192, 0.57825854, 14.60546875, 0.58542850, 14.60546875, 0.58104608, 14.60546875, 0.57904004, 14.60546875, 0.66581852, 14.60546875
410, 39998, 0.39417048, 14.60546875, 0.35844182, 14.60546875, 0.34128840, 14.60546875, 0.47710464, 14.60546875, 0.38337472, 14.60546875
510, 63496, 0.23533556, 14.61796875, 0.31377746, 14.62421875, 0.47512794, 14.62421875, 0.40231122, 14.62421875, 0.39733596, 14.62421875
610, 88870, 0.33021014, 14.63671875, 0.42518828, 14.63671875, 0.57884656, 14.63671875, 0.62532362, 14.63671875, 0.59320054, 14.63671875
710, 121520, 0.40145978, 14.63671875, 0.33808160, 14.63671875, 0.38676030, 14.63671875, 0.58397846, 14.63671875, 0.68496598, 14.63671875
810, 158147, 0.53394204, 14.64296875, 0.31721108, 14.64296875, 0.36554816, 14.64296875, 0.50185960, 14.64453125, 0.52179992, 14.64453125
910, 196647, 0.43400016, 14.64453125, 0.39859390, 14.64453125, 0.34040216, 14.64453125, 0.44207954, 14.64453125, 0.71986536, 14.64453125
1010, 246885, 0.46128682, 14.64453125, 0.77222304, 14.64453125, 0.36593582, 14.64453125, 0.44461506, 14.64453125, 0.54313140, 14.64453125
1110, 296020, 0.47547972, 14.70312500, 0.36545260, 14.70312500, 0.35439904, 14.70312500, 0.39813466, 14.70546875, 0.48190146, 14.72812500
1210, 353046, 0.64878800, 14.78203125, 0.45312902, 14.78203125, 0.37506192, 14.78203125, 0.40089478, 14.78437500, 0.52158990, 14.78437500
1310, 413850, 0.65621092, 14.78515625, 0.47067380, 14.78515625, 0.44133916, 14.78515625, 0.43817812, 14.78515625, 0.48967746, 14.78515625
1410, 480518, 0.61199422, 14.78515625, 0.48571370, 14.78515625, 0.48041838, 14.78515625, 0.48847356, 14.78515625, 0.56069318, 14.78515625
1510, 544195, 0.33786528, 14.78515625, 0.51046792, 14.78515625, 0.48194058, 14.78515625, 0.44041902, 14.78515625, 0.48230184, 14.78515625
1610, 615649, 0.39099166, 14.78515625, 0.48810288, 14.78515625, 0.45717394, 14.78515625, 0.39660260, 14.78515625, 0.41348948, 14.78515625
1710, 699989, 0.47471018, 14.78515625, 0.97163760, 14.78515625, 0.71677296, 14.78515625, 0.61353926, 14.78515625, 0.69812646, 14.78515625
1810, 794982, 0.46316186, 14.78515625, 0.84906938, 14.78515625, 0.86872354, 14.78515625, 0.58886258, 14.78515625, 0.53736216, 14.78515625
1910, 893982, 0.54055060, 14.78515625, 0.72490166, 14.78515625, 0.76887444, 14.78515625, 0.62734644, 14.78515625, 0.53138154, 14.78515625
2010, 981710, 0.55810656, 14.78515625, 0.70048630, 14.78515625, 0.83650226, 14.78515625, 0.61189048, 14.78515625, 0.62233692, 14.78515625
2110, 1079987, 0.68952816, 14.78515625, 0.68190554, 14.78515625, 0.61703476, 14.78515625, 0.60175020, 14.78515625, 0.63150620, 14.78515625
2210, 1179715, 0.74022244, 14.78515625, 0.41917856, 14.78515625, 0.49031476, 14.78515625, 0.66480558, 14.78515625, 0.81681758, 14.78515625
2310, 1288527, 0.69736980, 14.78515625, 0.57471078, 14.78515625, 0.49269246, 14.78515625, 0.89133844, 14.78515625, 0.57286842, 14.78515625
2410, 1399776, 0.75451886, 14.79453125, 0.56474342, 14.79453125, 0.53898132, 14.79453125, 0.58441922, 14.79687500, 0.60019232, 14.79687500
2510, 1519486, 0.86949852, 14.79687500, 0.59641028, 14.79687500, 0.56348608, 14.79687500, 0.56982336, 14.79687500, 0.52778644, 14.79687500
2610, 1640786, 0.91430076, 14.79687500, 0.68613206, 14.79687500, 0.63353462, 14.79687500, 0.53559850, 14.79687500, 0.59022270, 14.79687500
2710, 1773539, 0.94357100, 14.83437500, 0.60767392, 14.83437500, 0.59667872, 14.83437500, 0.71090688, 14.84375000, 0.75557514, 14.84375000
2810, 1905052, 0.84729546, 14.84687500, 0.49229080, 14.84687500, 0.48244474, 14.84687500, 0.39289882, 14.84765625, 0.37000096, 14.84765625
2910, 2041012, 0.91125030, 14.85078125, 0.49572764, 14.85078125, 0.48403712, 14.85078125, 0.37465198, 14.85234375, 0.36003550, 14.85234375
3010, 2193279, 0.99505536, 14.87421875, 0.57585752, 14.87421875, 0.50214274, 14.88671875, 0.36501664, 14.88828125, 0.34847192, 14.88828125
