Size of Data, Degree of Sortedness, Bubble Runtime, Bubble Footprint, Selection Runtime, Selection Footprint, Insertion Runtime, Insertion Footprint, MergeSort Runtime, MergeSort Footprint, QuickSort Runtime, QuickSort Footprint
10, 23, 0.78124628, 14.91015625, 0.81749020, 14.91015625, 0.77025112, 14.91015625, 0.74576234, 14.91015625, 0.74181844, 14.91015625
110, 3210, 0.43714884, 14.91796875, 0.45019348, 14.91796875, 0.43044646, 14.91796875, 0.43364040, 14.91796875, 0.43303954, 14.92812500
210, 10566, 0.39463218, 14.98125000, 0.44021200, 14.98125000, 0.46176178, 14.99375000, 0.45697710, 14.99375000, 0.46445632, 14.99375000
310, 23632, 0.39510918, 15.03125000, 0.37538416, 15.03125000, 0.40033104, 15.03125000, 0.43362756, 15.03125000, 0.42048048, 15.03125000
410, 41789, 0.33591794, 15.03125000, 0.31395948, 15.03125000, 0.31156134, 15.03125000, 0.38754918, 15.03125000, 0.38576488, 15.01250000
510, 63588, 0.24133674, 14.93750000, 0.32446084, 14.93750000, 0.32113966, 14.93750000, 0.39074598, 14.93750000, 0.38676110, 14.93750000
610, 90124, 0.26033434, 14.93750000, 0.33820896, 14.93750000, 0.33609818, 14.93750000, 0.39034216, 14.93750000, 0.38736438, 14.93750000
710, 124418, 0.28555968, 14.97421875, 0.24046302, 14.97500000, 0.33189282, 14.97500000, 0.39359326, 14.97500000, 0.38776582, 14.97500000
810, 165075, 0.33670398, 15.01250000, 0.28145922, 15.01250000, 0.27044982, 15.01250000, 0.43800078, 15.01562500, 0.41867580, 15.01562500
910, 212554, 0.37891918, 15.01562500, 0.30399486, 15.01562500, 0.29577272, 15.01562500, 0.39694314, 15.01562500, 0.44719506, 15.01562500
1010, 262506, 0.41622208, 15.01562500, 0.30971144, 15.01562500, 0.30432916, 15.01562500, 0.34530062, 15.01562500, 0.43462398, 15.01562500
1110, 317486, 0.45208832, 15.06406250, 0.33616148, 15.06406250, 0.34124444, 15.06406250, 0.35325992, 15.08671875, 0.46354534, 15.08671875
